vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,alpha,multiplicative,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,83.13,82.88,100
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,82.94,82.48,100
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,5,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,82.41,82.32,100
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,82.13,82.1,2011
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,5,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,81.9,81.69,1998
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,81.86,81.69,2011
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,81.66,81.36,100
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,81.61,81.55,50
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,81.58,81.48,2011
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,5,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,81.48,81.27,2011
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,81.29,81.23,50
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,81.24,80.86,1998
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,81.18,80.96,1998
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,81.18,80.44,420
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,81.1,80.75,100
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,80.99,80.59,100
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,80.95,80.85,100
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,80.87,80.61,2011
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,80.76,80.42,1998
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,80.75,80.37,2011
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,80.73,80.62,1998
