vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,alpha,multiplicative,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,5,0.35,0,0.005,500,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,90.65,88.27,2011
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,5,0.35,0,0.005,500,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,90.72,88.48,1998
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,5,0.35,0,0.005,500,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,90.79,88.32,420
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,5,0.35,0,0.005,500,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,90.55,88.44,100
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,5,0.35,0,0.005,500,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,90.1,87.95,50
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,4,0.35,0,0.005,500,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,90.16,87.91,2011
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,4,0.35,0,0.005,500,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,90.69,88.31,1998
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,4,0.35,0,0.005,500,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,90.14,88.04,420
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,4,0.35,0,0.005,500,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,89.97,87.63,100
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,4,0.35,0,0.005,500,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,90,87.65,50
