lr,iterations,n_neurons,noise_input,accuracy,seed,,
0.0005,3,50,0.1,67.27,2011,,
0.0005,3,50,0.1,65.22,1998,,
0.0005,3,50,0.1,65.35,420,,
0.0005,3,50,0.1,63.56,100,,
0.0005,3,50,0.1,65.24,50,65.328,1.31501711
0.0005,3,50,0.05,80.54,2011,,
0.0005,3,50,0.05,81.92,1998,,
0.0005,3,50,0.05,79.52,420,,
0.0005,3,50,0.05,80.45,100,,
0.0005,3,50,0.05,80.42,50,80.57,0.860639297
0.0005,3,50,0.01,80.98,2011,,
0.0005,3,50,0.01,82.24,1998,,
0.0005,3,50,0.01,80.78,420,,
0.0005,3,50,0.01,80.68,100,,
0.0005,3,50,0.01,81.6,50,81.256,0.655957316
