vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,alpha,multiplicative,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0,0.05,0.5,60000,0.015,0.03,5.00E-05,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,46.91,46.99,50
0,0.05,0.5,60000,0.015,0.03,0.0001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,47.89,47.89,50
0,0.05,0.5,60000,0.015,0.03,0.0005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,51.92,51.96,50
0,0.05,0.5,60000,0.015,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,50.19,50.22,50
0,0.05,0.5,60000,0.015,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,51.32,51.38,50
0,0.05,0.5,60000,0.015,0.03,0.01,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,45.23,45.19,50
0,0.05,0.5,60000,0.015,0.03,0.05,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,41.42,41.54,50
0,0.05,0.5,60000,0.015,0.03,0.1,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,37.56,37.64,50
0,0.05,0.5,60000,0.015,0.03,0.5,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,32.45,32.79,50
0,0.05,0.5,60000,0.015,0.03,1,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,18.6,17.78,50
0,0.05,0.5,60000,0.0225,0.03,5.00E-05,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,47.89,48.09,50
0,0.05,0.5,60000,0.0225,0.03,0.0001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,53.35,53.47,50
0,0.05,0.5,60000,0.0225,0.03,0.0005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.84,59.95,50
0,0.05,0.5,60000,0.0225,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,58.48,58.56,50
0,0.05,0.5,60000,0.0225,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,52.7,52.78,50
0,0.05,0.5,60000,0.0225,0.03,0.01,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,47.85,47.98,50
0,0.05,0.5,60000,0.0225,0.03,0.05,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,44.37,44.63,50
0,0.05,0.5,60000,0.0225,0.03,0.1,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,41.52,41.5,50
0,0.05,0.5,60000,0.0225,0.03,0.5,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,34.39,33.21,50
0,0.05,0.5,60000,0.0225,0.03,1,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,30.86,31.35,50
0,0.05,0.5,60000,0.03,0.03,5.00E-05,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,43.62,43.82,50
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,51.69,52.23,50
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,62.14,62.27,50
0,0.05,0.5,60000,0.03,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,59.98,60.14,50
0,0.05,0.5,60000,0.03,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,55.87,56.03,50
0,0.05,0.5,60000,0.03,0.03,0.01,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,57.49,57.66,50
0,0.05,0.5,60000,0.03,0.03,0.05,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,51.24,51.73,50
0,0.05,0.5,60000,0.03,0.03,0.1,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,51.3,51.29,50
0,0.05,0.5,60000,0.03,0.03,0.5,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,37.47,37.31,50
0,0.05,0.5,60000,0.015,0.03,5.00E-05,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,52.12,52.13,100
0,0.05,0.5,60000,0.015,0.03,0.0001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,51.4,51.49,100
0,0.05,0.5,60000,0.015,0.03,0.0005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,51.63,51.68,100
0,0.05,0.5,60000,0.015,0.03,0.001,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,51.37,51.4,100
0,0.05,0.5,60000,0.015,0.03,0.005,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,51.99,52.02,100
0,0.05,0.5,60000,0.015,0.03,0.01,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,49.8,49.88,100
0,0.05,0.5,60000,0.015,0.03,0.05,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,38.08,38.15,100
0,0.05,0.5,60000,0.015,0.03,0.1,0,1,1,0.35,0,0.005,10,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,35.21,35.79,100
